2026-03-26 03:02:47 | INFO     | pipeline | NEPSE ETL Pipeline starting …
2026-03-26 03:02:47 | INFO     | pipeline | Symbols : ['NEPSE', 'NABIL', 'ADBL', 'NTC', 'NICA', 'UPPER', 'SCB', 'EBL', 'SBL', 'GBIME']
2026-03-26 03:02:47 | INFO     | pipeline | Fetch   : True
2026-03-26 03:02:47 | INFO     | pipeline | Report  : True
2026-03-26 03:02:47 | INFO     | pipeline | ============================================================
2026-03-26 03:02:47 | INFO     | pipeline | STAGE 1: FETCH  (runs until 15:00 NPT or Ctrl+C)
2026-03-26 03:02:47 | INFO     | pipeline | ============================================================
2026-03-26 03:02:47 | INFO     | extractor | Extractor started. Watchlist: ['NEPSE', 'NABIL', 'ADBL', 'NTC', 'NICA', 'UPPER', 'SCB', 'EBL', 'SBL', 'GBIME']
2026-03-26 03:02:47 | INFO     | extractor | raw.csv reset for new session.
2026-03-26 03:02:47 | INFO     | extractor | Market not yet open. Waiting 28632s …
2026-03-26 03:03:25 | INFO     | extractor | Extractor shutting down …
2026-03-26 03:03:47 | INFO     | extractor | Extractor finished.
2026-03-26 03:03:47 | INFO     | pipeline | Generating report from current raw.csv data …
2026-03-26 03:03:48 | INFO     | pipeline | ============================================================
2026-03-26 03:03:48 | INFO     | pipeline | STAGE 2: TRANSFORM
2026-03-26 03:03:48 | INFO     | pipeline | ============================================================
2026-03-26 03:03:48 | ERROR    | pipeline | Transform failed: raw.csv is empty
2026-03-26 03:04:21 | INFO     | pipeline | NEPSE ETL Pipeline starting …
2026-03-26 03:04:21 | INFO     | pipeline | Symbols : ['NEPSE', 'NABIL', 'ADBL', 'NTC', 'NICA', 'UPPER', 'SCB', 'EBL', 'SBL', 'GBIME']
2026-03-26 03:04:21 | INFO     | pipeline | Fetch   : True
2026-03-26 03:04:21 | INFO     | pipeline | Report  : True
2026-03-26 03:04:21 | INFO     | pipeline | ============================================================
2026-03-26 03:04:21 | INFO     | pipeline | STAGE 1: FETCH  (runs until 15:00 NPT or Ctrl+C)
2026-03-26 03:04:21 | INFO     | pipeline | ============================================================
2026-03-26 03:04:21 | INFO     | extractor | Extractor started. Watchlist: ['NEPSE', 'NABIL', 'ADBL', 'NTC', 'NICA', 'UPPER', 'SCB', 'EBL', 'SBL', 'GBIME']
2026-03-26 03:04:21 | DEBUG    | extractor | Session stamp matches today — raw.csv already fresh.
2026-03-26 03:04:21 | INFO     | extractor | Market not yet open. Waiting 28538s …
2026-03-26 03:04:24 | INFO     | extractor | Extractor shutting down …
2026-03-26 03:05:21 | INFO     | extractor | Extractor finished.
2026-03-26 03:05:21 | INFO     | pipeline | Generating report from current raw.csv data …
2026-03-26 03:05:22 | INFO     | pipeline | ============================================================
2026-03-26 03:05:22 | INFO     | pipeline | STAGE 2: TRANSFORM
2026-03-26 03:05:22 | INFO     | pipeline | ============================================================
2026-03-26 03:05:22 | INFO     | transformer | Loaded raw.csv: 600 rows, 10 symbol(s), dates: ['2026-03-25']
2026-03-26 03:05:22 | INFO     | transformer | Running step: coerce_types
2026-03-26 03:05:22 | DEBUG    | transformer |   → 600 rows OK
2026-03-26 03:05:22 | INFO     | transformer | Running step: drop_duplicates
2026-03-26 03:05:22 | INFO     | transformer |   drop_duplicates removed 0 rows
2026-03-26 03:05:22 | DEBUG    | transformer |   → 600 rows OK
2026-03-26 03:05:22 | INFO     | transformer | Running step: drop_null_ohlcv
2026-03-26 03:05:22 | INFO     | transformer |   drop_null_ohlcv removed 0 rows
2026-03-26 03:05:22 | DEBUG    | transformer |   → 600 rows OK
2026-03-26 03:05:22 | INFO     | transformer | Running step: sanity_checks
2026-03-26 03:05:22 | INFO     | transformer |   sanity_checks removed 198 invalid rows
2026-03-26 03:05:22 | DEBUG    | transformer |   → 402 rows OK
2026-03-26 03:05:22 | INFO     | transformer | Running step: derive_prev_close
2026-03-26 03:05:22 | DEBUG    | transformer |   → 402 rows OK
2026-03-26 03:05:22 | INFO     | transformer | Running step: feature_engineering
2026-03-26 03:05:22 | DEBUG    | transformer |   → 402 rows OK
2026-03-26 03:05:22 | INFO     | transformer | Running step: fill_nulls
2026-03-26 03:05:22 | DEBUG    | transformer |   → 402 rows OK
