2026-03-26 07:25:42 | INFO     | transformer | Loaded 600 rows, 10 symbol(s)
2026-03-26 07:25:42 | INFO     | transformer | Removed 0 duplicate rows
2026-03-26 07:25:42 | INFO     | transformer | Saved 402 rows → /home/riyospace/Documents/new_optimized2/new_optimized/data/cleaned.csv
2026-03-26 07:25:42 | INFO     | pipeline | ============================================================
2026-03-26 07:25:42 | INFO     | pipeline | STAGE 3: VISUALISE
2026-03-26 07:25:42 | INFO     | pipeline | ============================================================
2026-03-26 07:25:43 | INFO     | report | Chart: line_ADBL.png
2026-03-26 07:25:43 | INFO     | report | Chart: line_EBL.png
2026-03-26 07:25:43 | INFO     | report | Chart: line_GBIME.png
2026-03-26 07:25:44 | INFO     | report | Chart: line_NABIL.png
2026-03-26 07:25:44 | INFO     | report | Chart: line_NEPSE.png
2026-03-26 07:25:44 | INFO     | report | Chart: line_NICA.png
2026-03-26 07:25:44 | INFO     | report | Chart: line_NTC.png
2026-03-26 07:25:45 | INFO     | report | Chart: line_SBL.png
2026-03-26 07:25:45 | INFO     | report | Chart: line_SCB.png
2026-03-26 07:25:45 | INFO     | report | Chart: line_UPPER.png
2026-03-26 07:25:45 | INFO     | report | Chart: overlay_close_lines.png
2026-03-26 07:25:45 | INFO     | report | Chart: pct_change_bars.png
2026-03-26 07:25:46 | INFO     | report | Chart: candlestick.png
2026-03-26 07:25:46 | INFO     | report | Chart: volume_bars.png
2026-03-26 07:25:46 | INFO     | report | Chart: correlation_heatmap.png
2026-03-26 07:25:46 | INFO     | report | Chart: cumulative_return.png
2026-03-26 07:25:47 | INFO     | report | Chart: summary_table.png
2026-03-26 07:25:47 | INFO     | report | Chart: nepse_index.png
2026-03-26 07:25:47 | INFO     | report | Generated 18 charts → /home/riyospace/Documents/new_optimized2/new_optimized/reports/2026-03-26/graphs
2026-03-26 07:25:47 | INFO     | pipeline | ============================================================
2026-03-26 07:25:47 | INFO     | pipeline | STAGE 4: REPORT + NOTIFY + EMAIL
2026-03-26 07:25:47 | INFO     | pipeline | ============================================================
2026-03-26 07:25:48 | INFO     | report | PDF saved: /home/riyospace/Documents/new_optimized2/new_optimized/reports/2026-03-26/NEPSE_Report_20260326_072547.pdf
2026-03-26 07:25:48 | INFO     | notifier | Sending email to recipient@example.com …
2026-03-26 07:25:50 | INFO     | notifier | Desktop notification sent (Linux).
2026-03-26 07:25:53 | ERROR    | notifier | Auth failed — use a Gmail App Password, not your main password.
2026-03-26 07:25:53 | INFO     | report | Email not sent — check config.
2026-03-26 07:25:53 | INFO     | pipeline | Report ready: /home/riyospace/Documents/new_optimized2/new_optimized/reports/2026-03-26/NEPSE_Report_20260326_072547.pdf
2026-03-26 07:27:25 | INFO     | pipeline | Generating report from current raw.csv data …
2026-03-26 07:27:25 | INFO     | pipeline | ============================================================
2026-03-26 07:27:25 | INFO     | pipeline | STAGE 2: TRANSFORM
2026-03-26 07:27:25 | INFO     | pipeline | ============================================================
2026-03-26 07:27:25 | INFO     | transformer | Loaded 600 rows, 10 symbol(s)
2026-03-26 07:27:25 | INFO     | transformer | Removed 0 duplicate rows
2026-03-26 07:27:25 | INFO     | transformer | Saved 402 rows → /home/riyospace/Documents/new_optimized2/new_optimized/data/cleaned.csv
2026-03-26 07:27:25 | INFO     | pipeline | ============================================================
2026-03-26 07:27:25 | INFO     | pipeline | STAGE 3: VISUALISE
2026-03-26 07:27:25 | INFO     | pipeline | ============================================================
2026-03-26 07:27:26 | INFO     | report | Chart: line_ADBL.png
2026-03-26 07:27:27 | INFO     | report | Chart: line_EBL.png
2026-03-26 07:27:27 | INFO     | report | Chart: line_GBIME.png
2026-03-26 07:27:27 | INFO     | report | Chart: line_NABIL.png
2026-03-26 07:27:27 | INFO     | report | Chart: line_NEPSE.png
2026-03-26 07:27:28 | INFO     | report | Chart: line_NICA.png
2026-03-26 07:27:28 | INFO     | report | Chart: line_NTC.png
2026-03-26 07:27:28 | INFO     | report | Chart: line_SBL.png
2026-03-26 07:27:28 | INFO     | report | Chart: line_SCB.png
2026-03-26 07:27:29 | INFO     | report | Chart: line_UPPER.png
2026-03-26 07:27:29 | INFO     | report | Chart: overlay_close_lines.png
2026-03-26 07:27:29 | INFO     | report | Chart: pct_change_bars.png
2026-03-26 07:27:29 | INFO     | report | Chart: candlestick.png
2026-03-26 07:27:30 | INFO     | report | Chart: volume_bars.png
2026-03-26 07:27:30 | INFO     | report | Chart: correlation_heatmap.png
2026-03-26 07:27:30 | INFO     | report | Chart: cumulative_return.png
2026-03-26 07:27:30 | INFO     | report | Chart: summary_table.png
2026-03-26 07:27:30 | INFO     | report | Chart: nepse_index.png
2026-03-26 07:27:30 | INFO     | report | Generated 18 charts → /home/riyospace/Documents/new_optimized2/new_optimized/reports/2026-03-26/graphs
2026-03-26 07:27:30 | INFO     | pipeline | ============================================================
2026-03-26 07:27:30 | INFO     | pipeline | STAGE 4: REPORT + NOTIFY + EMAIL
